gender,marital_status,region,highest_education,school,employment_status,loan_purpose,repayment_status,repayment_info_source,repayment_method,repayment_method_convenience,effectiveness_repayment_method,collection_strategy_effectiveness,interaction_quality_on_repayment,overall_experience_with_loan_process,over_under_milion,discipline
female,married,central,master,mzuni,fulltime,tuition_living,fully_paid,inperson,monthly_salary,convenient,effective,neutral,positive,neutral,over,stem
female,married,northern,bachelor,mzuni,fulltime,tuition_living,not_paid,inperson,none,inconvenient,ineffective,effective,neutral,dissatisfied,over,stem
female,widowed,northern,master,chanco,fulltime,tuition_living_stationery,fully_paid,inperson,monthly_salary,very_convenient,very_effective,very_effective,very_positive,very satisfied,over,stem
female,single,southern,bachelor,mzuni,fulltime,living,partially_paid,email,monthly_salary,neutral,neutral,effective,positive,neutral,under,stem
female,married,central,bachelor,chanco,fulltime,tuition_living,fully_paid,email,monthly_salary,convenient,effective,effective,neutral,neutral,over,stem
male,married,northern,doctorate,mzuni,fulltime,tuition_living,fully_paid,inperson,monthly_salary,neutral,effective,neutral,positive,neutral,under,stem
female,married,central,bachelor,mzuni,self_employed,tuition_living,fully_paid,inperson,voluntary_monthly,neutral,effective,effective,positive,satisfied,under,stem
female,divorced,central,bachelor,mzuni,parttime,tuition_living_stationery,not_paid,socialmedia,none,neutral,ineffective,ineffective,neutral,neutral,under,stem
male,married,central,bachelor,mzuni,fulltime,tuition_living,partially_paid,inperson,monthly_salary,neutral,neutral,neutral,neutral,neutral,under,stem
female,single,central,bachelor,chanco,self_employed,tuition_living,not_paid,inperson,none,inconvenient,ineffective,neutral,neutral,neutral,over,stem
male,widowed,southern,doctorate,chanco,fulltime,tuition_living,partially_paid,inperson,voluntary_monthly,neutral,neutral,neutral,neutral,neutral,over,stem
male,married,central,bachelor,chanco,self_employed,tuition,not_paid,inperson,none,neutral,neutral,neutral,neutral,neutral,under,stem
male,married,northern,master,chanco,fulltime,tuition_living,not_paid,inperson,none,neutral,effective,neutral,neutral,neutral,over,stem
female,single,southern,bachelor,mzuni,unemployed,tuition_living,not_paid,inperson,none,inconvenient,ineffective,neutral,neutral,neutral,over,stem
female,single,southern,bachelor,mzuni,unemployed,tuition_living,not_paid,inperson,none,inconvenient,ineffective,neutral,neutral,neutral,over,stem
male,single,northern,bachelor,chanco,parttime,tuition_living,not_paid,inperson,none,inconvenient,ineffective,neutral,neutral,neutral,over,stem
female,single,southern,bachelor,mzuni,fulltime,tuition_living,partially_paid,inperson,monthly_salary,inconvenient,ineffective,neutral,neutral,neutral,over,stem
male,married,southern,bachelor,chanco,fulltime,tuition_living,partially_paid,inperson,voluntary_monthly,inconvenient,ineffective,neutral,neutral,neutral,over,stem
